time,pid_tb.pos[31:0]
15718700000,-6773
15725900000,-6773
15725900000,-6762
15733100000,-6762
15733100000,-6751
15740300000,-6751
15740300000,-6740
15747500000,-6740
15747500000,-6729
15754700000,-6729
15754700000,-6718
15761900000,-6718
15761900000,-6707
15769100000,-6707
15769100000,-6696
15776300000,-6696
15776300000,-6685
15783500000,-6685
15783500000,-6674
15790700000,-6674
15790700000,-6663
15797900000,-6663
15797900000,-6652
15805100000,-6652
15805100000,-6641
15812300000,-6641
15812300000,-6630
15819500000,-6630
15819500000,-6619
15826700000,-6619
15826700000,-6608
15833900000,-6608
15833900000,-6597
15841100000,-6597
15841100000,-6586
15848300000,-6586
15848300000,-6575
15855500000,-6575
15855500000,-6564
15862700000,-6564
15862700000,-6553
15869900000,-6553
15869900000,-6543
15877100000,-6543
15877100000,-6532
15884300000,-6532
15884300000,-6521
15891500000,-6521
15891500000,-6511
15898700000,-6511
15898700000,-6500
15905900000,-6500
15905900000,-6490
15913100000,-6490
15913100000,-6480
15920300000,-6480
15920300000,-6469
15927500000,-6469
15927500000,-6459
15934700000,-6459
15934700000,-6448
15941900000,-6448
15941900000,-6437
15949100000,-6437
15949100000,-6427
15956300000,-6427
15956300000,-6416
15963500000,-6416
15963500000,-6406
15970700000,-6406
15970700000,-6396
15977900000,-6396
15977900000,-6385
15985100000,-6385
15985100000,-6375
15992300000,-6375
15992300000,-6365
15999500000,-6365
15999500000,-6354
16006700000,-6354
16006700000,-6344
16013900000,-6344
16013900000,-6334
16021100000,-6334
16021100000,-6324
16028300000,-6324
16028300000,-6314
16035500000,-6314
16035500000,-6304
16042700000,-6304
16042700000,-6294
16049900000,-6294
16049900000,-6284
16057100000,-6284
16057100000,-6273
16064300000,-6273
16064300000,-6263
16071500000,-6263
16071500000,-6253
16078700000,-6253
16078700000,-6243
16085900000,-6243
16085900000,-6233
16093100000,-6233
16093100000,-6223
16100300000,-6223
16100300000,-6213
16107500000,-6213
16107500000,-6203
16114700000,-6203
16114700000,-6193
16121900000,-6193
16121900000,-6183
16129100000,-6183
16129100000,-6173
16136300000,-6173
16136300000,-6163
16143500000,-6163
16143500000,-6153
16150700000,-6153
16150700000,-6143
16157900000,-6143
16157900000,-6133
16165100000,-6133
16165100000,-6123
16172300000,-6123
16172300000,-6113
16179500000,-6113
16179500000,-6103
16186700000,-6103
16186700000,-6093
16193900000,-6093
16193900000,-6083
16201100000,-6083
16201100000,-6073
16208300000,-6073
16208300000,-6063
16215500000,-6063
16215500000,-6053
16222700000,-6053
